name,Liliaceae,Ail,Asperge,Ciboulette,Echalote,Oignon,Poireau,Fabaceae,Fève,Haricot,Pois,Apiaceae,Aneth,Carotte,Celeri,Cerfeuil,Fenouil,Panais,Persil,Solanaceae,Aubergine,Poivron,Pomme de terre,Tomate,Brassicaceae,Chou,Chou rave,Chou rouge,Navet,Radis,Cucurbitaceae,Concombre,Cornichon,Courge,Courgette,Melon,Potiron,Artichaut,Basilic,Bette,Betterave,Bourrache,Capucine,Cardon,Chicoree,Cresson,Epinard,Estragon,Fraisier,Laitue,Mâche,Maïs,Menthe,Oeillet d'inde,Sarriette,Sauge,Scorsonère,Souci,Tétragone,Thym,Tournesol
Liliaceae,,,,,,,,-2,,,,1,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ail,,,-1,,,1,,-2,,-2,-2,,,1,,,,,,,,,1,1,,-1,,,1,,,1,,,,,,,,,1,,,,,,1,,1,1,1,,,,,,,1,,,
Asperge,,-1,,,-1,-1,1,,0,1,0,,,,,,,,1,,,,,1,,-1,,,,,,1,1,,,,,1,,-1,,,,,,,,,,,,,,,,,,,,,
Ciboulette,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Echalote,,,-1,,,-1,,,,,-2,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,
Oignon,,1,-1,,-1,,-1,-2,-2,-2,-2,,1,1,,,,1,,,-1,1,,1,,-1,,,,,,1,1,1,1,,,1,,1,1,,,,1,,,,1,1,,,,,,,1,1,,,
Poireau,,,1,,,-1,,-2,-2,-2,-2,,,2,1,,1,,,,,,,1,,,,,,,,,,,,1,,,,-1,,,,,,,1,,1,1,,,,,,,1,1,,,
Fabaceae,-2,-2,,,,-2,-2,,,,,,,,,,,,,,,,1,,1,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Feve,,,0,,,-2,-2,,,,,,,,,,,1,,,,,1,1,,,,,,,,,,1,,,,,,,,,,1,,,,,1,,,,,,,,,,,,
Haricot,,-2,1,,,-2,-2,,,0.8,-1,,,1,1,,,1,,,1,,1,,,1,,,,1,,1,1,1,1,1,,,,1,1,1,,,1,,1,,1,1,1,2,,,,,,,1,,
Pois,,-2,0,,-2,-2,-2,,,-1,0.8,,,1,1,,,,,,1,,1,-1,,1,,,1,1,,1,1,1,1,1,,0,,,,,,,1,,1,,,1,1,,,,,,,,,,
Apiaceae,1,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aneth,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,
Carotte,,1,,1,,1,2,,,1,1,,1,,,,,,,,,1,,1,,1,,,,1,,,,,,,,,,1,-1,,,,1,,1,,,1,,,-1,,,,1,,,,
Celeri,,,,,,,1,,,1,1,,,,,,1,,,,,,,1,,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,-1,,,,,,,,,
Cerfeuil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Fenouil,,,,,,,1,,,,,,,,1,,,,,,,-1,,-1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panais,,,,,,1,,,1,1,,,,,,,,,,,,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,
Persil,,,1,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,-1,,,,1,-1,,,,,,,,,,,
Solanaceae,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aubergine,,,,,,-1,,,,1,1,,,,,,,,1,,,1,-1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,
Poivron,,,,,,1,,,,,,,,1,,,-1,,,,1,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Pomme de terre,,1,,,,,,1,1,1,1,,,,,,,,,,-1,,,-1,,,,,,-1,,,,,-1,,,,,,,,1,,,,,,,,,1,,,,,,1,,,
Tomate,,1,1,,,1,1,,1,,-1,,,1,1,,-1,1,1,,1,1,-1,0.8,,1,,-1,,1,,,,,,,,,2,,-1,,,,,,1,,,1,,1,,2,,,,1,1,,
Brassicaceae,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chou,,-1,-1,,,-1,,,,1,1,,,1,1,,,1,,,,,,1,,-1,,,,,,1,1,,,,,1,,,1,,1,,1,,1,,-1,1,-1,,,1,1,,,,,,
Chou rave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,
Chou rouge,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Navet,,1,,1,,,,,,,1,,,,1,,1,,,,,,,,,,,,,-1,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,
Radis,,,,,,,,,,1,1,,,1,,-1,,1,,,,,-1,1,,,,,-1,,,-1,-1,,,,,1,,1,1,,1,1,,1,1,,,1,1,,,,,,1,,,,
Cucurbitaceae,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concombre,,1,1,,,1,,,,1,1,,1,,,,,,,,,,,,,1,,,,-1,,0.8,,-1,-1,-1,,,1,,,,1,,1,,,,,1,,1,,1,,,,,,,
Cornichon,,,1,,,1,,,,1,1,,,,,,,,,,,,,,,1,,,,-1,,,0.8,-1,-1,-1,,,1,,,,1,,1,,,,,1,,1,,1,,,,,,,
Courge,,,,1,1,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,,-1,-1,0.8,,,,,,,,,1,,,,,,,,,1,,,,,,,,,
Courgette,,,,1,1,1,,,,1,1,,,,,,,,,,,,-1,,,,,,,,,-1,-1,,0.8,,,,,,,,,,,,,,,,,,,,,,,,1,,
Melon,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,-1,-1,,,0.8,1,,,,,,1,,,,,,,1,,1,,,,,,,,,1
Potiron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Artichaut,,,1,,,1,,1,,,0,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,
Basilic,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,1,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Bette,,,-1,,,1,-1,,,1,,,,1,1,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Betterave,,1,,,,1,,,,1,,,,-1,,,,,,,,,,-1,,1,,,,1,,,,,,,,,,,,,,,1,,-1,,,1,,-1,,,,,,,,,
Bourrache,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Capucine,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,1,,1,1,1,,1,,1,,,,,,,,,,,1,,,,,,,,,,,,
Cardon,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicorée,,,,,,1,,,,1,1,,1,1,,,,,-1,,,,,,,1,,,,,,1,1,,,,,,,,1,,,,,,1,,,,-1,,,,,,,1,,,-1
Cresson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epinard,,1,,,,,1,,,1,1,,,1,,,,,,,,,,1,,1,,,1,1,,,,,,,,,,,-1,,,,1,,,,1,1,-1,,,,,,,,,,
Estragon,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fraisier,,1,,,1,1,1,,1,1,,,,,,,,,1,,,,,,,-1,,,,,,,,,,,,,,,,1,1,,,,1,,,1,,,,,,1,,,,,
Laitue,,1,,,,1,1,,,1,1,,1,1,,1,,-1,-1,,,,,1,,1,,,,1,,1,1,,,1,,1,,1,1,,,,,,1,,1,1,,,,,,,1,,,,-1
Mâche,,1,,,,,,,,1,1,,,,,,,,,,,,,,,-1,,,,1,,,,,,,,,1,,,,,,-1,,-1,,,,,,,,,,,,,,
Maïs,,,,,,,,,,2,,,,,-1,,,,,,,,1,1,,,,,,,,1,1,1,,1,,,,,-1,,,,,,,,,,,,,,,,,,,,
Menthe,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oeillet d'inde,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarriette,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sauge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Scorsonère,,,,,,1,1,,,,,,,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Souci,,1,,,,1,1,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Tétragone,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Thym,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tournesol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,-1,,,,,-1,,,,,,,,,,,
